beta_variation_max_abs,contact_max_speed,contact_mean_speed,contact_num_sliding,description,estimated_ground_y,folder,foot_source,fps,frames,ground_confidence,max_foot_y,min_foot_y,opensim_motion,penetration0_count,penetration0_max,penetration0_mean,penetration_estimated_count,penetration_estimated_max,penetration_estimated_mean,pkl,pose_delta_lower_max_abs,pose_delta_total_max_abs,pose_delta_upper_max_abs,retarget_dir,root_max_vertical_accel,root_rms_vertical_accel,sequence,sequence_group,stage_id,stage_order,track_id
0.0,9.59320354,0.33013746,62,Post-processed signal: world-grounded plus lower-body/contact correction,0.00290453,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7,feet_refined,60.0,119,high,0.12894028,-0.006432,,167,0.006432,0.00058073,221,0.00933653,0.00174916,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7/lower_body_corrected/corrected_smpl.pkl,0.39161858,0.39161858,0.0,,0.00527453,0.00098667,6月2日-7,june2,03_lower_body_corrected,3,merged
0.91838562,12.453372,0.44613716,429,Original WHAM signal,-0.84879655,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1,feet_refined,60.0,154,high,-0.73287845,-0.89492708,,616,0.89492708,0.84164113,292,0.04613054,0.00900427,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1/wham_output.pkl,0.0,0.0,0.0,,0.00291111,0.00060189,video1,video,00_raw_wham,0,merged
0.0,12.453372,0.44613716,429,Fixed-beta canonical signal,-0.84879655,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1,feet_refined,60.0,154,high,-0.73287845,-0.89492708,,616,0.89492708,0.84164113,292,0.04613054,0.00900427,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1/canonical_wham_output.pkl,0.0,0.0,0.0,,0.02850586,0.00288566,video1,video,01_fixed_beta,1,merged
0.0,12.453372,0.44613716,429,World-grounded signal,0.01724672,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1,feet_refined,60.0,154,high,0.13244855,-0.02112693,,153,0.02112693,0.00202833,318,0.03837365,0.00870982,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00535607,0.00110308,video1,video,02_world_grounded,2,merged
0.0,9.00516319,0.21493882,86,Post-processed signal: world-grounded plus lower-body/contact correction,0.00235134,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1,feet_refined,60.0,154,high,0.11604178,-0.00623292,,237,0.00623292,0.00071612,304,0.00858426,0.0017708,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video1/lower_body_corrected/corrected_smpl.pkl,0.40844387,0.40844387,0.0,,0.00561678,0.00088834,video1,video,03_lower_body_corrected,3,merged
0.80095154,2.37896585,0.36078188,454,Original WHAM signal,-0.86242348,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10,feet_refined,60.0,173,high,-0.79496777,-0.89569139,,692,0.89569139,0.85556966,301,0.03326792,0.00632954,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10/wham_output.pkl,0.0,0.0,0.0,,0.00209469,0.00047111,video10,video,00_raw_wham,0,merged
0.0,2.37896585,0.36078188,454,Fixed-beta canonical signal,-0.86242348,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10,feet_refined,60.0,173,high,-0.79496777,-0.89569139,,692,0.89569139,0.85556966,301,0.03326792,0.00632954,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00161815,0.0004554,video10,video,01_fixed_beta,1,merged
0.0,2.37896585,0.36078188,454,World-grounded signal,0.01016742,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10,feet_refined,60.0,173,high,0.07878071,-0.0207842,,116,0.0207842,0.00085912,316,0.03095162,0.00456236,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.0027777,0.00046724,video10,video,02_world_grounded,2,merged
0.0,0.93712878,0.05947024,46,Post-processed signal: world-grounded plus lower-body/contact correction,0.00141847,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10,feet_refined,60.0,173,high,0.07402354,-0.00480992,,256,0.00480992,0.00062174,339,0.00622839,0.00123324,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video10/lower_body_corrected/corrected_smpl.pkl,0.55722606,0.55722606,0.0,,0.00088185,0.00022517,video10,video,03_lower_body_corrected,3,merged
0.60228729,1.96668398,0.36008781,440,Original WHAM signal,-0.86779082,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2,feet_refined,60.0,155,high,-0.79205537,-0.90366948,,620,0.90366948,0.86050868,276,0.03587866,0.00720079,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2/wham_output.pkl,0.0,0.0,0.0,,0.00211762,0.00042275,video2,video,00_raw_wham,0,merged
